AA Urbanized Area (UZA) Name,UZA Population,UZA code,Transit Category,% PMT Rail,Public Transit Percent,Percent as Number, $ Fare Revenue ,$ Op Expenses, $ Op Expenses (millions) ,Cost Recovery Ratio,PMT Transit, Transit Passenger Miles Traveled (millions) , PMT Bus , PMT Rail ,Rail Portion of Transit Passenger Miles,Bus - $ per PMT,Heavy Rail - $ per PMT,Comm Rail -$ per PMT ,Light Rail - $ per PMT,Automated Guideway - $ per PMT,,Per Capita Transit Passenger Miles / yr,Per Capita Transit Operating Expense / yr,,"Estimated Pop (1,000) ",Estimated Pop,INTERSTATE miles,Other Fwy Miles,Other Principal Arterial Miles,Minor Arterial Miles,Collector Miles,Local Miles,Total Miles,Total Fwy DVMT (000),Other Principal Arterials DVMT,Minor Arterial DVMT (000),Collector DVMT (000),Local DVMT (000),Total DVMT (000),Net Land Area Sq miles,Persons per Square mile,Miles of Roadway per 1000 persons,Total DVMT per Capita,Annual VMT Per Capita,Total Miles of Freeways,% of Total Miles Serving as Freeways,% Of Total DVMT Served by Freeways,Total Estimated Freeway Lane Miles,FHWA AVG daily traffic per freeway lane,,TTI Population Group, Estimated Pop (000) , Size (sq miles) , Population Density (persons/sq mile) , Peak Period Travelers (000) , Freeway Daily VMT (000) , Frwy Lane-miles , Arterial Daily VMT (000) , Arterial Lane-miles , Total Fwy. & Arterial lane-miles calc ,Total lane miles per cap - calc, Transit PMT/yr (million) , Transit Unlinked Pas. Trips (millions) ,Fuel Cost ($/gal),Congested (% of Peak VMT),Congested (% of lane-miles),Hrs. of Congestion - system,Con. Congestion -Transit HOV riders needed (000), Ex. Fuel Consumption - Total Gallons (000) ,Ex. Fuel - Gal per peak traveler, Total Delay hrs/yr (000)  ,Hrs/yr delay per peak traveler,% Delay due to Incidents,TTI Travel Time Index, Congestion Cost  $/ yr (000) , Cong. Cost / peak Traveler $/yr , Transit - Delay Reductions (1000 hrs) ,Transit - Delay Red. Per Peak Tr. (hrs /yr) , Transit - Cong. Cost Savings $ millions , Transit - Fuel Savings (1000 gal)  , If no transit - Delay increase (1000 hrs / yr)  ,If no transit - Delay inc. per peak trav. hrs/yr , If no Transit - Cong. Cost Inc. $million/yr  , If no tran. - Wasted Fuel inc. (1000 gals)  ,Per Capita Congestion Delay hrs/yr- calc,Per Capita Congestion Cost $/yr,Per Capita Congestion Cost Savings due to Transit $/yr- calc,,BLS 06/07 Income before taxes,Persons per Consumer Unit (Household),Vehicle per Consumer Unit ,Transportation Expenditures per Household /yr.,Gasoline and motor oil Expenditures,"Transport Expenditures, Percent of Total Income",,Travel to Work - Drove Alone Percent,Travel to Work - Carpooled Percent,Travel to Work - Public Transit Percent,Mean Travel Time to Work - Minutes,Travel to Work - Walk %,Travel to Work - Bicycle %,Walk & Mile Commute,Travel to Work - Work at Home %,,Total Crash Fatalities,Pedestrians Killed, City(s) Population  ,"Ped. Fatalities Per 100,000 ","Total Crash Fatalities per 100,000",Per Capita GDP,Per Capita Income
"New York-Newark, NY-NJ-CT",18351295,1,L,0.78,0.311,31.1,5036047268,10267634889,10267.6,0.49,21461477658,21461,4451138870,16795081238,0.78,0.85,0.33,0.38,1.26,,,1179.5,564.28,,18196,18196000,505,707,2590,4827,3881,31090,43600,119239,65533,51769,21277,47920,305738,4485,4057,2.4,16.8,6132,1212,2.8,39,7213,16531,,Vlg,17775,4780,3719,8319,117500,7200,95000,19010,26210,1.47,18720,3478,2.4,68,48,7.2,206,241976,29,384046,46,64,1.39,7383,888,41215,5,781.9,16285.1,216431,26,4177.6,131589.6,21.6,415.4,235,,76022,2.5,1.3,8048,1892,0.11,,49.4,7.4,31.1,34.8,0.06,0,0.09,0.04, ,307,148,8554662,1.73,3.59,57097,54222
"Los Angeles-Long Beach-Santa Ana, CA",12150996,2,S,0.28,0.063,6.3,481492072,1931639668,1931.6,0.25,3220185306,3220,2260005173,899302100,0.28,0.63,0.45,0.3,0.5,,,260.8,156.47,,12345,12345000,354,320,2524,3164,2623,15884,24869,135237,71549,49539,11676,12398,280399,1971,6263,2,23,8395,674,3,48,5614,24089,,Vlg,12540,2285,5488,6784,140000,5870,126000,20755,26625,2.12,2981,666,2.62,86,62,8,126,383674,57,490552,72,46,1.5,9324,1374,56611,8,1067.8,27763.9,28494,4,458.7,16643,39.1,743.5,36.6,,76384,2.8,1.8,10141,2712,0.13,,73.8,11,6.3,28.5,0.03,0.01,0.06,0.04,,330,109,4640415,2.35,7.11,47214,42916
"Chicago, IL-IN",8608208,3,L,0.73,0.126,12.6,746226278,2195390220,2195.4,0.34,4025080075,4025,993084264,2954541382,0.73,1.03,0.48,0.29,,,,447.8,244.26,,8988,8988000,475,68,1830,2539,2601,18298,25811,54824,45615,32594,18789,21243,173065,3624,2480,2.9,19.3,7045,543,2.1,31.7,2982,18385,,Vlg,8140,2800,2907,4379,55050,2720,50500,12900,15620,1.92,3873,604,2.34,82,63,7.8,70,141612,32,202835,46,49,1.47,3968,906,8384,2,163.6,5092.9,39554,9,779.4,28850.8,24.9,487.5,95.7,,75463,2.6,1.8,8846,2322,0.12,,69.8,9.2,12.6,31,0.03,0.01,0.07,0.04,,192,50,2836658,1.76,6.77,45463,45328
"Philadelphia, PA-NJ-DE-MD",5502379,4,L,0.66,0.099,9.9,382602281,1037150558,1037.2,0.37,1600264749,1600,527122631,1052562570,0.66,0.97,0.38,0.41,0.81,,,302.5,196.02,,5291,5291000,270,202,1343,1715,1966,13917,19413,36402,29925,17729,11356,12168,107580,2257,2344,3.7,20.3,7410,472,2.4,33.8,2409,15111,,Vlg,5300,2280,2325,2920,35325,2305,48235,8240,10545,1.99,1631,353,2.28,63,52,7.2,114,70902,24,111703,38,59,1.28,2077,711,6393,2,120.1,3483.5,19155,7,359.7,11302.3,21.1,391.9,67.9,,65637,2.4,1.5,7345,2106,0.11,,72.6,9.2,9.9,27.9,0.04,0,0.06,0.03,,124,34,1449634,2.35,8.55,47256,46954
"Miami, FL",5441567,5,S,0.25,0.037,3.7,124786866,700944227,700.9,0.18,972537557,973,667596696,242388655,0.25,0.7,0.6,0.4,,2.38,,179.3,129.25,,5423,5423000,131,200,710,952,1323,13038,16354,41037,28078,24299,15135,24710,133259,1499,3618,3,24.6,8979,331,2,30.8,2102,19523,,Vlg,5330,1680,3173,3022,39470,2050,52455,7400,9450,1.77,806,159,2.34,85,64,8,111,105181,35,150146,50,52,1.38,2730,903,12911,4,232.1,6862.5,9748,3,170.3,5978.9,28.2,512.2,32,,54990,2.4,1.5,7938,2457,0.14,,78.6,9.8,3.7,27.8,0.02,0,0.03,0.04,,56,17,409719,4.15,13.67,40447,43709
"Dallas-Fort Worth-Arlington, TX",5121892,6,S,0.34,0.02,2,47467799,400590834,400.6,0.12,504570755,505,276968992,172147867,0.34,0.87,,0.89,0.57,,,113.9,90.43,,4430,4430000,291,234,983,1161,2093,13099,17861,54559,28001,18417,11789,5292,118058,1657,2674,4,26.6,9709,526,2.9,46.2,3184,17135,,Vlg,4445,2300,1933,2627,57300,3150,45750,8260,11410,2.57,486,82,2.23,66,43,7.6,96,106207,40,152129,58,55,1.35,2747,1046,12193,5,215.5,5757.9,5642,2,102.2,3877.5,34.2,618,23,,67145,2.8,1.9,10764,2559,0.16,,80.3,11.2,2,25.9,0.01,0,0.06,0.04,,257,62,2293355,2.7,11.21,50067,42392
"Boston, MA-NH-RI",4944332,7,L,0.84,0.132,13.2,401491774,1020902269,1020.9,0.39,1764515276,1765,247930155,1481154881,0.84,1.39,0.51,0.29,0.68,,,430.3,248.94,,4101,4101000,278,167,1124,2113,1846,11337,16865,39944,20730,14418,5545,12703,93341,2241,1830,4,23,8395,446,3,43,2547,15683,,Vlg,4075,2240,1819,2033,40875,2550,35540,7200,9750,2.39,1768,402,2.28,59,37,7.2,78,62521,31,93375,46,56,1.27,1820,895,4643,2,89.5,2533.2,21441,11,416.1,12978.6,22.9,446.6,102.1,,80966,2.3,1.7,8707,2026,0.11,,68.4,7.9,13.2,28.9,0.05,0.01,0.08,0.04,,30,8,599351,1.33,5.01,57916,55023
"Washington, DC-VA-MD",4586770,8,L,0.71,0.158,15.8,566734972,1478660873,1478.7,0.38,2380226822,2380,668212046,1693546306,0.71,1,0.44,0.45,,,,549.5,341.33,,4332,4332000,186,143,705,1115,1142,8446,11737,39045,25321,17687,7454,8353,97860,1305,3320,2.7,22.6,8249,330,2.8,39.9,2077,18799,,Vlg,4280,1310,3267,2131,38580,2050,41195,6100,8150,1.9,2195,462,2.4,81,63,8,74,90861,43,127394,60,51,1.37,2331,1094,8942,4,162.8,3501.9,25655,12,456.4,17343.4,29.8,544.6,106.6,,100486,2.6,1.8,9531,2272,0.09,,64.7,10.4,15.8,32.2,0.03,0,0.05,0.04,,44,19,588292,3.23,7.48,61834,56510
"Detroit, MI",4515419,9,B,0,0.018,1.8,37768095,282526857,282.5,0.13,280064218,280,268510426,0,0,0.9,,,,3.62,,71.9,72.55,,3894,3894000,220,84,1102,1478,1084,10863,14831,32782,33195,20755,7101,10150,103983,1439,2706,4,27,9855,303,2,32,1916,17110,,Vlg,4055,1440,2816,2153,33045,1915,53200,8580,10495,2.59,267,48,2.33,71,57,7.6,62,76062,35,115547,54,53,1.29,2174,1010,3824,2,73,2895.6,3276,2,61.3,1949.6,28.5,536.1,15.1,,58414,2.4,2,8743,2602,0.15,,84.7,8.1,1.8,25.6,0.02,0,0.03,0.03,,120,30,916952,3.27,13.09,40086,39806
"Houston, TX",4181019,10,S,0.05,0.031,3.1,57101175,328682525,328.7,0.17,604634539,605,495839425,28317753,0.05,0.55,,,0.53,,,195.1,106.06,,3099,3099000,137,240,693,1481,1409,11597,15557,48311,20723,21469,9479,4408,104390,1476,2100,5,34,12410,378,2,46,2547,18968,,Vlg,3790,1905,1990,2198,46350,2480,39355,7415,9895,2.61,552,95,2.23,73,46,7.6,70,92559,42,124132,56,50,1.36,2225,1012,13617,6,240.8,5856.1,5959,3,96.1,3907.5,32.8,587.1,25.4,,71124,2.7,1.8,11119,2936,0.16,,77.8,12.5,3.1,27.8,0.02,0,0.03,0.03,,209,56,2208180,2.54,9.46,49182,48259
